Tenure,WarehouseToHome,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn
4.0,14.0,4,Mobile Phone,5,Single,5,1,4.0,146.66,1
9.0,11.0,4,Mobile Phone,5,Married,10,1,0.0,134.19,0
9.0,6.0,3,Laptop & Accessory,2,Single,5,0,0.0,166.53,0
5.0,13.0,4,Laptop & Accessory,3,Divorced,2,0,8.0,154.84,0
28.0,14.0,4,Grocery,4,Married,2,1,0.0,235.77,0
22.0,9.0,3,Laptop & Accessory,4,Divorced,5,0,3.0,206.2,0
30.0,6.0,5,Laptop & Accessory,3,Married,3,1,2.0,156.6,0
20.0,8.0,4,Mobile Phone,1,Single,2,1,2.0,132.94,0
8.0,,4,Mobile Phone,1,Married,2,0,2.0,123.76,0
6.0,16.0,6,Laptop & Accessory,1,Married,2,0,8.0,171.68,0
10.0,25.0,3,Fashion,4,Single,2,1,9.0,176.42,0
14.0,8.0,4,Laptop & Accessory,1,Married,6,0,4.0,190.13,0
14.0,18.0,3,Mobile Phone,2,Divorced,4,1,0.0,147.66,0
16.0,9.0,6,Others,1,Married,3,0,10.0,323.45,1
1.0,36.0,4,Mobile Phone,5,Married,3,0,3.0,164.07,0
29.0,7.0,4,Others,5,Single,2,1,14.0,315.45,0
19.0,27.0,4,Grocery,1,Married,2,1,11.0,259.96,0
1.0,16.0,4,Mobile Phone,1,Single,3,0,3.0,151.1,0
11.0,,3,Mobile Phone,4,Married,6,0,8.0,125.92,0
1.0,30.0,5,Laptop & Accessory,1,Married,9,1,1.0,166.57,0
3.0,13.0,4,Mobile Phone,2,Divorced,3,0,9.0,156.31,0
10.0,16.0,3,Laptop & Accessory,4,Single,3,1,1.0,141.97,0
9.0,16.0,5,Fashion,3,Married,3,1,16.0,231.85,0
19.0,14.0,3,Laptop & Accessory,3,Divorced,6,0,3.0,189.34,0
1.0,7.0,4,Laptop & Accessory,3,Divorced,2,0,3.0,173.98,0
3.0,10.0,4,Laptop & Accessory,3,Married,6,1,1.0,177.38,1
1.0,8.0,5,Mobile Phone,5,Single,8,0,8.0,148.62,1
,6.0,4,Mobile Phone,4,Single,2,1,2.0,121.74,1
20.0,17.0,5,Fashion,2,Divorced,4,1,,215.71,0
,13.0,3,Mobile Phone,5,Single,4,1,3.0,121.66,1
16.0,33.0,4,Grocery,4,Married,7,0,9.0,260.25,0
,9.0,3,Mobile Phone,1,Married,5,0,4.0,120.97,0
0.0,,3,Mobile Phone,5,Married,2,1,0.0,123.98,1
30.0,13.0,3,Grocery,5,Divorced,11,0,8.0,257.12,0
7.0,11.0,5,Mobile Phone,4,Divorced,8,0,2.0,151.22,0
3.0,28.0,4,Laptop & Accessory,3,Divorced,3,1,0.0,163.8,1
0.0,17.0,3,Laptop & Accessory,5,Married,2,1,3.0,147.41,0
,8.0,3,Mobile Phone,3,Married,3,0,2.0,120.01,0
27.0,31.0,2,Fashion,1,Married,5,0,3.0,195.05,0
14.0,21.0,4,Laptop & Accessory,5,Married,3,0,3.0,171.39,0
,7.0,4,Mobile Phone,3,Married,2,0,0.0,115.63,0
12.0,27.0,5,Laptop & Accessory,3,Married,7,0,2.0,157.36,0
20.0,7.0,3,Mobile Phone,1,Married,8,0,2.0,134.2,0
14.0,13.0,4,Grocery,1,Single,3,1,8.0,289.37,0
1.0,8.0,4,Mobile Phone,1,Married,11,1,3.0,172.87,1
0.0,,3,Mobile Phone,3,Single,2,1,7.0,123.94,1
23.0,6.0,3,Others,4,Married,4,1,7.0,281.72,0
3.0,12.0,4,Laptop & Accessory,2,Divorced,1,0,7.0,146.27,0
11.0,36.0,4,Fashion,4,Married,3,1,10.0,243.49,1
31.0,10.0,2,Mobile Phone,5,Married,6,1,1.0,151.7,0
11.0,18.0,4,Mobile Phone,3,Single,6,0,3.0,161.29,0
1.0,14.0,4,Mobile Phone,3,Married,5,1,8.0,158.39,1
16.0,10.0,4,Fashion,1,Single,4,0,17.0,202.31,0
0.0,21.0,3,Fashion,3,Married,8,1,7.0,236.1,1
0.0,,4,Mobile Phone,3,Divorced,2,0,2.0,125.39,0
9.0,23.0,4,Fashion,3,Divorced,6,1,1.0,201.32,0
13.0,18.0,3,Laptop & Accessory,5,Married,3,0,7.0,144.48,0
1.0,16.0,5,Mobile Phone,4,Married,3,0,1.0,151.94,0
6.0,12.0,5,Laptop & Accessory,4,Married,5,0,6.0,183.78,0
4.0,6.0,5,Laptop & Accessory,3,Divorced,1,0,4.0,143.45,0
